code,name,academic_units
BA3205,ACTUARIAL COMPUTING,4
BC2402,DESIGNING & DEVELOPING DATABASES,4
BC2406,ANALYTICS I: VISUAL & PREDICTIVE TECHNIQUES,4
BC2407,ANALYTICS II: ADVANCED PREDICTIVE TECHNIQUES,4
BC2408,SUPPLY CHAIN ANALYTICS,4
BC2409,SUPPLY CHAIN ANALYTICS,3
BC2410,PRESCRIPTIVE ANALYTICS WITH GENERATIVE AI,4
BC2411,PRESCRIPTIVE ANALYTICS WITH GENERATIVE AI,3
BC3402,FINANCIAL SERVICE PROCESSES & ANALYTICS,4
BC3405,LEAN OPERATIONS & ANALYTICS,4
BC3406,BUSINESS ANALYTICS CONSULTING,4
BC3407,PROGRAMMING FOR BUSINESS TRANSFORMATION,4
BC3409,AI IN ACCOUNTING & FINANCE,4
BC3410,FINANCIAL SERVICE PROCESSES & ANALYTICS,3
BC3411,LEAN OPERATIONS & ANALYTICS,3
BC3412,BUSINESS ANALYTICS CONSULTING,3
BC3413,PROGRAMMING FOR BUSINESS TRANSFORMATION,3
BC3415,AI IN ACCOUNTING & FINANCE,3
BE1401,BUSINESS OPERATIONS & PROCESS,4
BE1402,BUSINESS OPERATIONS & PROCESS,3
BE2501,INTERNATIONAL BUSINESS ENVIRONMENT,4
BE2601,"MANAGEMENT PRINCIPLES, SKILLS & COMPETENCIES",4
BE2602,"MANAGEMENT PRINCIPLES, SKILLS & COMPETENCIES",3
BF2100,ETHICS IN THE INVESTMENT PROFESSION,1
BF2201,INVESTMENTS,4
BF2206,WEALTH MANAGEMENT,4
BF2209,DERIVATIVE SECURITIES,4
BF2213,INTRODUCTION TO COMPLIANCE,4
BF2214,FINTECH IN INVESTMENT MANAGEMENT,4
BF2216,TRADE INCOTERMS & SHIP CHARTERING,4
BF2218,COMMODITY MARKETS,4
BF2219,INVESTMENTS,3
BF2220,WEALTH MANAGEMENT,3
BF2221,DERIVATIVE SECURITIES & HEDGING STRATEGIES,3
BF2222,INTRODUCTION TO COMPLIANCE,3
BF2223,FINTECH IN INVESTMENT MANAGEMENT,3
BF2225,RELATIONSHIP MANAGEMENT,3
BF2226,TRADE INCOTERMS & SHIP CHARTERING,3
BF2227,COMMODITY MARKETS,3
BF2228,SUSTAINABLE FINANCE,3
BF2229,GLOBAL FINANCIAL MARKETS & INSTITUTIONS,3
BF2302,INTERNATIONAL TAX & TRADING LAW,2
BF3121,IMPACT INVESTING,3
BF3122,CARBON MARKETS & PRICING FUNDAMENTALS,3
BF3201,CORPORATE FINANCE & STRATEGY,4
BF3202,FIXED INCOME SECURITIES,4
BF3203,EQUITY SECURITIES,4
BF3204,FINANCIAL MODELLING,4
BF3207,ALTERNATIVE INVESTMENTS,4
